State,year,commodity,units,Sales
Alabama,2008,All commodities,"$1,000     ",4367625.0
Alabama,2008,Animals and products,"$1,000     ",3572079.0
Alabama,2008,Meat animals,"$1,000     ",365828.0
Alabama,2008,Cattle and calves,"$1,000     ",331749.0
Alabama,2008,Hogs,"$1,000     ",34079.0
Alabama,2008,"Dairy products, Milk","$1,000     ",39711.0
Alabama,2008,Poultry and eggs,"$1,000     ",3007470.0
Alabama,2008,Broilers,"$1,000     ",2689160.0
Alabama,2008,Chicken eggs,"$1,000     ",298550.0
Alabama,2008,Farm chickens,"$1,000     ",8523.0
Alabama,2008,Turkeys,"$1,000     ",11237.0
Alabama,2008,Miscellaneous animals and products,"$1,000     ",159070.0
Alabama,2008,Aquaculture,"$1,000     ",93254.0
Alabama,2008,Catfish,"$1,000     ",93254.0
Alabama,2008,Sheep and lambs,"$1,000     ",830.0
Alabama,2008,Honey,"$1,000     ",1129.0
Alabama,2008,Mohair,"$1,000     ",10.0
Alabama,2008,Other animals and products,"$1,000     ",63823.0
Alabama,2008,All other animals and products,"$1,000     ",63823.0
Alabama,2008,Wool,"$1,000     ",24.0
Alabama,2008,Crops,"$1,000     ",795546.0
Alabama,2008,Food grains,"$1,000     ",64987.0
Alabama,2008,Wheat,"$1,000     ",64987.0
Alabama,2008,Feed crops,"$1,000     ",143538.0
Alabama,2008,Corn,"$1,000     ",99494.0
Alabama,2008,Hay,"$1,000     ",41614.0
Alabama,2008,Oats,"$1,000     ",1643.0
Alabama,2008,Sorghum,"$1,000     ",787.0
Alabama,2008,Cotton,"$1,000     ",111297.0
Alabama,2008,Cotton lint,"$1,000     ",92885.0
Alabama,2008,"Cotton lint, Upland","$1,000     ",92885.0
Alabama,2008,Cottonseed,"$1,000     ",18412.0
Alabama,2008,Oil crops,"$1,000     ",161066.0
Alabama,2008,Peanuts,"$1,000     ",91646.0
Alabama,2008,Soybeans,"$1,000     ",69420.0
Alabama,2008,Vegetables and melons,"$1,000     ",25513.0
Alabama,2008,Potatoes,"$1,000     ",2795.0
Alabama,2008,"Potatoes, Summer","$1,000     ",2795.0
Alabama,2008,Sweet potatoes,"$1,000     ",5300.0
Alabama,2008,"Corn, Sweet","$1,000     ",1121.0
Alabama,2008,"Corn, Sweet, Fresh","$1,000     ",1121.0
Alabama,2008,Cucumbers,"$1,000     ",262.0
Alabama,2008,"Cucumbers, Fresh","$1,000     ",
Alabama,2008,"Cucumbers, Processing","$1,000     ",262.0
Alabama,2008,Tomatoes,"$1,000     ",12255.0
Alabama,2008,"Tomatoes, Fresh","$1,000     ",12255.0
Alabama,2008,Watermelon,"$1,000     ",3780.0
Alabama,2008,Fruits and nuts,"$1,000     ",16577.0
Alabama,2008,Peaches,"$1,000     ",6184.0
Alabama,2008,Blueberries,"$1,000     ",479.0
Alabama,2008,Pecans,"$1,000     ",9914.0
Alabama,2008,All other crops,"$1,000     ",272567.0
Alabama,2008,Floriculture,"$1,000     ",
Alabama,2008,Miscellaneous crops,"$1,000     ",272567.0
Alabama,2008,USDA/ERS Farm Income and Wealth Statistics,"$1,000     ",
Alabama,2009,All commodities,"$1,000     ",4270441.0
Alabama,2009,Animals and products,"$1,000     ",3328099.0
Alabama,2009,Meat animals,"$1,000     ",349146.0
Alabama,2009,Cattle and calves,"$1,000     ",300706.0
Alabama,2009,Hogs,"$1,000     ",48440.0
Alabama,2009,"Dairy products, Milk","$1,000     ",25428.0
Alabama,2009,Poultry and eggs,"$1,000     ",2826738.0
Alabama,2009,Broilers,"$1,000     ",2519304.0
Alabama,2009,Chicken eggs,"$1,000     ",286893.0
Alabama,2009,Farm chickens,"$1,000     ",9646.0
Alabama,2009,Turkeys,"$1,000     ",10895.0
Alabama,2009,Miscellaneous animals and products,"$1,000     ",126787.0
Alabama,2009,Aquaculture,"$1,000     ",90688.0
Alabama,2009,Catfish,"$1,000     ",90688.0
Alabama,2009,Sheep and lambs,"$1,000     ",1076.0
Alabama,2009,Honey,"$1,000     ",837.0
Alabama,2009,Mohair,"$1,000     ",10.0
Alabama,2009,Other animals and products,"$1,000     ",34145.0
Alabama,2009,All other animals and products,"$1,000     ",34145.0
Alabama,2009,Wool,"$1,000     ",30.0
Alabama,2009,Crops,"$1,000     ",942342.0
Alabama,2009,Food grains,"$1,000     ",49765.0
Alabama,2009,Wheat,"$1,000     ",49765.0
Alabama,2009,Feed crops,"$1,000     ",153320.0
Alabama,2009,Corn,"$1,000     ",118990.0
Alabama,2009,Hay,"$1,000     ",32572.0
Alabama,2009,Oats,"$1,000     ",1061.0
Alabama,2009,Sorghum,"$1,000     ",696.0
Alabama,2009,Cotton,"$1,000     ",108848.0
Alabama,2009,Cotton lint,"$1,000     ",91723.0
Alabama,2009,"Cotton lint, Upland","$1,000     ",91723.0
