key,Aggregate Commodity census data ,commodity ag exports data 2000-2023,Cash receipts by commodity State ranking 2008-2024,"Production expenses by type, State ranking 1975-2024",Price of Commodity by state,
aflatoxin,,,,,,
agribusiness,,,,,,
agribusinesses,,,,,,
agricultural,,,,,,
agricultural_commodities,,,,,,
agricultural_goods,,,,,,
agricultural_products,,,,,,
agricultural_sector,,,,,,
agriculture,,,,,,
agriculture_commissioner,,,,,,
agriculture_department,,,,,,
agriculture_secretary,,,,,,
agronomic,,,,,,
agronomy,,,,,,
almond,,Tree Nuts,Almonds,,ALMONDS,
almonds,,Tree Nuts,,,ALMONDS,
and 1256,?,,,,,
animal_feed,,Feeds,,Feed,,
animal_feeds,,Feeds,,Feed,,
animal_nutrition,,Feeds ,,Feed,,
animal_protein,,,,,,
apples,,"Fruits, fresh",Apples,,APPLES,
aquaculture,,,Aquaculture ,,ACQUACULTURE,
arable,,,,,,
arable_land,,,,,,
archer_daniels,,,,,,
asparagus,,"Veggies, fresh",Asparagus ,,ASPARAGUS,
atlantic_salmon,,,,,,
avocado,,"Fruits, fresh",Avocados,,AVOCADOES,
avocados,?,"Fruits, fresh",Avocados,,AVOCADOES,
banana,,"Fruits, fresh",,,BANANAS,
bananas,?,"Fruits, fresh",,,BANANAS,
barley,,,Barley,,BARLEY,
bean,?,,"Beans, Snap (Also Beans, Snap, Fresh and Processing) ",,BEANS ,
beans,dbeans?,,,,BEANS ,
beef,livestock_beefcow,Beef,,,,
beef_cattle,livestock_beefcow,Beef,,,,
beef_exports,,beef,,,,
beef_pork,?,,,,,
beet,,"Veggies, fresh ",Beets,,BEETS,
beet_sugar,,,,,,
beets,,"Veggies, fresh ",Beets,,BEETS,
biodiesel,?,,,,,
biodiesel_producers,?,,,,,
bioenergy,?,,,,,
biofuel,?,,,Petroleum fuel and oil,,
biofuels,?,,,,,
biosecurity,?,,,,,
breeders,,,,,,
breeding,,,,,,
broiler,,Broilers,Broilers,,,
broilers,,Broilers,Broilers,,,
cane,,,,,,
cane_sugar,,,,,,
canola,,Other Oilseed Products,Canola,,CANOLA,
canola_meal,,,,,CANOLA (proxy)?,
canola_seed,,Other Oilseed Products,,,CANOLA (proxy)?,
catfish,,,Catfish,,,
cattle,,,Cattle and calves,,CATTLE,
cattle_herd,,,,,,
cattle_producers,,,,,,
cattlemen,,,,,,
cauliflower,,"Veggies, fresh",Cauliflower,,CAULIFLOWER,
cereal,,,,,,
cereals,,,,,,
chicken,livestock_chickens,Broilers ,,,CHICKENS,
chickpeas,,,,,CHICKPEAS,
citrus,,,,,CITRUS,also CITRUS TOTALS
citrus_crop,,,,,,
citrus_fruit,,,,,,
citrus_groves,,,,,,
citrus_growers,,,,,,
coarse_grain,,Grain Products ,,,GRAIN,
cocoa,,,,,,
coconut_oil,,Other Oilseed Products,,,,
coffee,,,Coffee,,COFFEE,
coffee_beans,,,,,,
coffees,,,,,COFFEE,
copra,,,,,,
corn,corn,Corn,Corn,,CORN,
corn_crop,corn,Corn,,,CORN,
corn_harvest,,Corn,,,CORN,
corn_soybeans,soybeans,,,,,
cotton,cotton,Cotton,Cotton,,COTTON,
cotton_acreage,,,,,,
cotton_crop,cotton,Cotton,,,,
cotton_growers,,,,,,
cotton_seed,cotton,,,,,
cottonseed,cotton,,Cottonseed,,CRUSTACEANS ,
crawfish,,,,,,
crop,,,Crops,,CROP TOTALS,
crop_damage,,,,,,
crop_nutrients,,,,,,
cropland,,,,,,
crops,,,,,CROP TOTALS,
crusher,,,,,,
crushers,,,,,,
crushing_capacity,?,,,,,
cultivation,,,,,,
dairy,,Dairy,"Dairy products, Milk",,DAIRY,
dairy_cows,,Dairy,,,,
dairy_farmers,,,,,,
dairy_farms,,,,,,
dairy_products,,Dairy,,,DAIRY PRUDUCT TOTALS,
damaged_crops,?,,,,,
devastating_drought,?,,,,,
drought,?,,,,,
dry_beans,dbeans?,,,,,
dry_weather,,,,,,
dryness,,,,,,
durum,,,,,,
edible,,,,,,
edible_oil,,Other Oilseed Products ,,,,
edible_oils,,Other Oilseed Products ,,,,
ethanol,,,,,,
ethanol_producers,?,,,,,
ethanol_production,?,,,,,
excessive_moisture,?,,,,,
fao,,,,,,
fapri,,,,,,
farm,,,,,,
farm_belt,,,,,,
farm_equipment,,,,,,
farm_gate,,,,,,
farm_incomes,,,,,,
farmer,,,,,,
farmers,?,,,,,
farming,,,,,,
farmland,,,,,,
farms,,,,,,
favorable_weather,,,,,,
feed_grain,,Feeds,,,GRAIN,
feed_grains,,Feeds,,,GRAIN,
feed_ingredient,,Feeds,,,,
feed_ingredients,,Feeds,,,,
feed_mills,,,,,,
feedlot,,,,,,
fertilizer,,,,,,
fertilizers,,,,,,
fisheries,,,,,,
fishery,,,,,,
fishery_products,,,,,,
flax,,,Flaxseed,,FLAXSEED,
florida_citrus,,,,,,
flour,,,,,,
flour_mills,,,,,,
food,?,,,,,
food_processors,?,,,,,
food_safety,?,,,,,
foodstuff,?,,,,,
foodstuffs,?,,,,,
forage,,,,,,
frozen_beef,,,,,,
fruit,,"Fruits, fresh",Fruit and nuts,,FRUIT TOTALS,
fruits_vegetables,,"Fruits, fresh / Veggies, fresh ? ",,,,
fungicide,,,,,,
fungicides,,,,,,
fungus,,,,,,
garlic,,,Garlic,,GARLIC,
genetically_modified,,,,,,
ginners,,,,,,
ginning,,,,,,
gmo,?,,,,,
grain,,Grain Products ,Food grains ,,GRAIN,
grain_crops,,Grain Products ,Food grains ,,,
grain_sorghum,sorghumgrain,,,,,
grains,,Grain Products ,Food grains,,GRAIN,
granaries,,,,,,
granary,,,,,,
grape,,"Fruits, fresh",Grapes,,GRAPES,
grasshoppers,,,,,,
green_coffee,,,,,,
groundnut,,,,,,
grower,,,,,,
growers,,,,,,
guar,,,,,GUAR,
harvest,,,,,,
harvest_season,,,,,,
