State,year,commodity,units,Exports
Alabama,2000,Total exports,Million dollars,568.8046
Alaska,2000,Total exports,Million dollars,6.0088
Arizona,2000,Total exports,Million dollars,485.3077
Arkansas,2000,Total exports,Million dollars,1314.5247
California,2000,Total exports,Million dollars,6800.4433
Colorado,2000,Total exports,Million dollars,885.4634
Connecticut,2000,Total exports,Million dollars,148.4158
Delaware,2000,Total exports,Million dollars,130.2627
Florida,2000,Total exports,Million dollars,1895.1916
Georgia,2000,Total exports,Million dollars,1521.0498
Hawaii,2000,Total exports,Million dollars,148.9743
Idaho,2000,Total exports,Million dollars,711.9822
Illinois,2000,Total exports,Million dollars,3115.333
Indiana,2000,Total exports,Million dollars,1747.827
Iowa,2000,Total exports,Million dollars,3479.4058
Kansas,2000,Total exports,Million dollars,1949.5098
Kentucky,2000,Total exports,Million dollars,2488.0742
Louisiana,2000,Total exports,Million dollars,612.8737
Maine,2000,Total exports,Million dollars,148.5538
Maryland,2000,Total exports,Million dollars,361.8608
Massachusetts,2000,Total exports,Million dollars,118.6709
Michigan,2000,Total exports,Million dollars,902.9256
Minnesota,2000,Total exports,Million dollars,2199.3757
Mississippi,2000,Total exports,Million dollars,766.6518
Missouri,2000,Total exports,Million dollars,1363.6892
Montana,2000,Total exports,Million dollars,501.1485
Nebraska,2000,Total exports,Million dollars,2298.287
Nevada,2000,Total exports,Million dollars,65.2618
New Hampshire,2000,Total exports,Million dollars,31.6739
New Jersey,2000,Total exports,Million dollars,245.3163
New Mexico,2000,Total exports,Million dollars,318.6495
New York,2000,Total exports,Million dollars,498.4888
North Carolina,2000,Total exports,Million dollars,3296.934
North Dakota,2000,Total exports,Million dollars,1194.0239
Ohio,2000,Total exports,Million dollars,1503.3504
Oklahoma,2000,Total exports,Million dollars,812.377
Oregon,2000,Total exports,Million dollars,779.5705
Pennsylvania,2000,Total exports,Million dollars,708.2734
Rhode Island,2000,Total exports,Million dollars,12.0975
South Carolina,2000,Total exports,Million dollars,684.1613
South Dakota,2000,Total exports,Million dollars,1205.3316
Tennessee,2000,Total exports,Million dollars,899.0201
Texas,2000,Total exports,Million dollars,2667.3389
Utah,2000,Total exports,Million dollars,162.1161
Vermont,2000,Total exports,Million dollars,48.1345
Virginia,2000,Total exports,Million dollars,764.9634
Washington,2000,Total exports,Million dollars,1304.1477
West Virginia,2000,Total exports,Million dollars,64.5794
Wisconsin,2000,Total exports,Million dollars,928.3155
Wyoming,2000,Total exports,Million dollars,145.9279
Alabama,2001,Total exports,Million dollars,665.3505
Alaska,2001,Total exports,Million dollars,6.5711
Arizona,2001,Total exports,Million dollars,466.4583
Arkansas,2001,Total exports,Million dollars,1354.8788
California,2001,Total exports,Million dollars,7031.342
Colorado,2001,Total exports,Million dollars,911.0059
Connecticut,2001,Total exports,Million dollars,131.9896
Delaware,2001,Total exports,Million dollars,147.7645
Florida,2001,Total exports,Million dollars,1849.0532
Georgia,2001,Total exports,Million dollars,1453.1676
Hawaii,2001,Total exports,Million dollars,155.5641
Idaho,2001,Total exports,Million dollars,733.6988
Illinois,2001,Total exports,Million dollars,3313.3293
Indiana,2001,Total exports,Million dollars,2031.2656
Iowa,2001,Total exports,Million dollars,3504.2626
Kansas,2001,Total exports,Million dollars,1984.9796
Kentucky,2001,Total exports,Million dollars,2133.8433
Louisiana,2001,Total exports,Million dollars,605.06
Maine,2001,Total exports,Million dollars,149.3417
Maryland,2001,Total exports,Million dollars,381.2234
Massachusetts,2001,Total exports,Million dollars,98.5722
Michigan,2001,Total exports,Million dollars,961.3433
Minnesota,2001,Total exports,Million dollars,2201.9644
Mississippi,2001,Total exports,Million dollars,853.4624
Missouri,2001,Total exports,Million dollars,1471.3955
Montana,2001,Total exports,Million dollars,459.791
Nebraska,2001,Total exports,Million dollars,2428.8506
Nevada,2001,Total exports,Million dollars,69.604
New Hampshire,2001,Total exports,Million dollars,32.2133
New Jersey,2001,Total exports,Million dollars,249.8793
New Mexico,2001,Total exports,Million dollars,326.7751
New York,2001,Total exports,Million dollars,510.8126
North Carolina,2001,Total exports,Million dollars,2989.3362
North Dakota,2001,Total exports,Million dollars,1327.8205
Ohio,2001,Total exports,Million dollars,1548.8612
Oklahoma,2001,Total exports,Million dollars,798.6143
Oregon,2001,Total exports,Million dollars,831.3069
Pennsylvania,2001,Total exports,Million dollars,768.3185
Rhode Island,2001,Total exports,Million dollars,15.0563
South Carolina,2001,Total exports,Million dollars,618.4273
South Dakota,2001,Total exports,Million dollars,1212.6041
Tennessee,2001,Total exports,Million dollars,929.8821
Texas,2001,Total exports,Million dollars,2884.0026
Utah,2001,Total exports,Million dollars,174.4382
Vermont,2001,Total exports,Million dollars,49.0039
Virginia,2001,Total exports,Million dollars,757.1497
Washington,2001,Total exports,Million dollars,1397.253
West Virginia,2001,Total exports,Million dollars,70.4386
Wisconsin,2001,Total exports,Million dollars,940.9614
Wyoming,2001,Total exports,Million dollars,159.3467
Alabama,2002,Total exports,Million dollars,525.2143
Alaska,2002,Total exports,Million dollars,6.2587
Arizona,2002,Total exports,Million dollars,511.8981
Arkansas,2002,Total exports,Million dollars,1337.8599
California,2002,Total exports,Million dollars,7165.7584
Colorado,2002,Total exports,Million dollars,911.5773
Connecticut,2002,Total exports,Million dollars,143.826
Delaware,2002,Total exports,Million dollars,121.877
Florida,2002,Total exports,Million dollars,1793.8638
Georgia,2002,Total exports,Million dollars,1190.3016
Hawaii,2002,Total exports,Million dollars,150.7574
Idaho,2002,Total exports,Million dollars,765.0197
Illinois,2002,Total exports,Million dollars,3376.6064
Indiana,2002,Total exports,Million dollars,1821.6159
Iowa,2002,Total exports,Million dollars,3939.5855
Kansas,2002,Total exports,Million dollars,2043.051
Kentucky,2002,Total exports,Million dollars,1634.0367
Louisiana,2002,Total exports,Million dollars,598.1407
Maine,2002,Total exports,Million dollars,125.4466
Maryland,2002,Total exports,Million dollars,320.1503
Massachusetts,2002,Total exports,Million dollars,115.842
Michigan,2002,Total exports,Million dollars,956.2975
Minnesota,2002,Total exports,Million dollars,2511.2415
Mississippi,2002,Total exports,Million dollars,796.1131
Missouri,2002,Total exports,Million dollars,1316.8729
Montana,2002,Total exports,Million dollars,500.9615
Nebraska,2002,Total exports,Million dollars,2484.318
Nevada,2002,Total exports,Million dollars,57.5372
New Hampshire,2002,Total exports,Million dollars,31.4886
New Jersey,2002,Total exports,Million dollars,252.4389
New Mexico,2002,Total exports,Million dollars,285.2998
New York,2002,Total exports,Million dollars,502.0179
North Carolina,2002,Total exports,Million dollars,2483.7322
North Dakota,2002,Total exports,Million dollars,1564.4563
Ohio,2002,Total exports,Million dollars,1461.5154
Oklahoma,2002,Total exports,Million dollars,818.1907
Oregon,2002,Total exports,Million dollars,776.5947
Pennsylvania,2002,Total exports,Million dollars,714.7695
Rhode Island,2002,Total exports,Million dollars,15.5833
South Carolina,2002,Total exports,Million dollars,511.5857
South Dakota,2002,Total exports,Million dollars,1192.9265
Tennessee,2002,Total exports,Million dollars,783.6107
Texas,2002,Total exports,Million dollars,2784.0232
Utah,2002,Total exports,Million dollars,166.0408
Vermont,2002,Total exports,Million dollars,47.3688
Virginia,2002,Total exports,Million dollars,671.871
Washington,2002,Total exports,Million dollars,1407.8598
West Virginia,2002,Total exports,Million dollars,59.8008
Wisconsin,2002,Total exports,Million dollars,1003.3761
